Race,Date,Place,Time,Category,Sex,Country,Lane,Person 1,Person 2,split time 1,split time 2,split time 3,Total Time,Final Rank,Air Temp,Wind Speed,Wind Direction,Day,Month,Year,Competiton Type_WORLD CHAMP,Competiton Type_WORLD CUP,Competiton Type_WORLDCHAMPIONSHIPS,Competiton Type_WORLDCHAMPIONSHIPS  ,Competiton Type_WORLDCUP,Competition Round_FINAL A,Competition Round_FINAL B,Competition Round_FINAL C,Competition Round_HEAT,Competition Round_SEMI FINAL,Competition Round_SEMIFINAL
18.05.2013_11:09,18.05.2013,RACICE,11:09,SEN,M,LTU,,NEKRIOSIUS Ricardas,OLIJNIK Andrej,47,93,143,193,5.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,True,False,False,False,False,False
18.05.2013_11:09,18.05.2013,RACICE,11:09,SEN,M,CZE,,ADAM Jakub,ODVÁRKO Michael,,94,145,193,6.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,True,False,False,False,False,False
18.05.2013_11:09,18.05.2013,RACICE,11:09,SEN,M,CZE,,DAVÍDEK Pavel,KUČERA Patrik,51,98,152,194,7.0,18.0,,E,18.0,5.0,2013.0,False,True,False,False,False,True,False,False,False,False,False
18.05.2013_11:09,18.05.2013,RACICE,11:09,SEN,M,CAN,,VAN KOEVERDEN ADAM,REARDON BRADY,49,104,153,199,9.0,,,,18.0,5.0,2013.0,False,False,False,False,False,False,False,False,False,False,False
10.05.2013_10:41,10.05.2013,SZEGED,10:41,SEN,M,HUN,7.0,Dombi Rudolf,Kökény Roland,49,102,158,209,1.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:41,10.05.2013,SZEGED,10:41,SEN,M,CZE,9.0,Havel Daniel,Štěrba Jan,50,103,157,209,2.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:41,10.05.2013,SZEGED,10:41,SEN,M,ARG,4.0,De Gesus Juan Pablo,Carreras Gonzalo,51,107,163,218,3.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:41,10.05.2013,SZEGED,10:41,SEN,M,SWE,2.0,Hemselius Daniel,Barsk Johannes,52,106,170,218,4.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:41,10.05.2013,SZEGED,10:41,SEN,M,POR,3.0,Fernandes David,Ribeiro João,50,106,165,219,5.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
10.05.2013_10:41,10.05.2013,SZEGED,10:41,SEN,M,DEN,6.0,Larsen Martin,Axelsen William,55,108,165,220,6.0,,,,10.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
