Date;Place;Time;Category;Sex;Country;Lane;Person 1;Person 2;split time 1;split time 2;split time 3;Total Time;Final Rank;Air Temp;Wind Speed;Wind Direction;Competiton Type;Competition Round
17.05.2013;RACICE;15:41;SEN;M;CHN;1;XUE Yuan;ZHAO Yuefeng;;;;3:46.735;7;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:41;SEN;M;KGZ;8;BONDAR Maksim;ALGIN Ilia;;;;3:54.484;8;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:41;SEN;M;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;15:48;SEN;M;RUS;3;MEDVEDEV Ilya;RYAKHOV Anton;;;;3:24.083;1;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:48;SEN;M;SRB;6;PAJIC Dejan;STANOJEVIC Dusko;;;;3:24.250;2;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:48;SEN;M;CAN;4;VAN KOEVERDEN ADAM;REARDON BRADY;;;;3:24.587;3;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:48;SEN;M;FRA;5;BURGER GUILLAUME;URBAN QUENTIN;;;;3:27.400;4;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:48;SEN;M;BEL;2;BROEKX Toon;BROEKX Piet;;;;3:29.540;5;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:48;SEN;M;GBR;7;BOWLEY Mathew;TERRY Dean;;;;3:31.913;6;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:48;SEN;M;NOR;8;SALBU Daniel;SOLHAUG Jo Sondre;;;;3:36.999;7;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:48;SEN;M;KGZ;1;PAROL Aleksandr;DOROFEEV Igor;;;;3:56.307;8;18;;E;WORLD CUP;SEMIFINAL
17.05.2013;RACICE;15:48;SEN;M;HKG;9;TSOI Yik San;NG Ka Nam;;;;4:07.229;9;18;;E;WORLD CUP;SEMIFINAL
;;;;;;;;;;;;;;;;;;
18.05.2013;RACICE;9:54;SEN;M;FRA;4;BURGER GUILLAUME;URBAN QUENTIN;46.200;1:36.200;2:28.030;3:19.044;1;18;;E;WORLD CUP;FINAL B
18.05.2013;RACICE;9:54;SEN;M;DEN;5;BOE Niels;AXELSEN William;49.580;1:39.730;2:28.710;3:20.434;2;18;;E;WORLD CUP;FINAL B
18.05.2013;RACICE;9:54;SEN;M;CAN;3;CLARKE ROB;JESSOP ANDREW;47.590;1:39.120;2:29.560;3:21.044;3;18;;E;WORLD CUP;FINAL B
18.05.2013;RACICE;9:54;SEN;M;NZL;7;BATS Jasper;FITZGERALD Darryl;56.320;1:41.080;2:31.810;3:22.730;4;18;;E;WORLD CUP;FINAL B
18.05.2013;RACICE;9:54;SEN;M;BEL;8;BROEKX Toon;BROEKX Piet;48.520;1:38.110;2:30.540;3:24.040;5;18;;E;WORLD CUP;FINAL B
18.05.2013;RACICE;9:54;SEN;M;FIN;1;HAKALA Jeremy;NYKÄNEN Miika;50.970;1:41.830;2:34.230;3:27.013;6;18;;E;WORLD CUP;FINAL B
18.05.2013;RACICE;9:54;SEN;M;KAZ;6;DERGUNOV ALEXEY;ALEXEYEV YEVGENIY;54.080;1:45.340;2:37.670;3:27.206;7;18;;E;WORLD CUP;FINAL B
18.05.2013;RACICE;9:54;SEN;M;GBR;9;BOWLEY Mathew;TERRY Dean;52.200;1:43.130;2:35.820;3:27.600;8;18;;E;WORLD CUP;FINAL B
;;9:54;SEN;M;NZL;2;FITZGERALD Jarrod;QUICKENDEN Zac;53.060;1:44.400;2:36.550;3:29.820;9;18;;E;WORLD CUP;FINAL B
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;18;;E;WORLD CUP;FINAL A
18.05.2013;RACICE;11:09;SEN;M;GER;;RENDSCHMIDT Max;GROSS Marcus;45.490;1:28.320;2:21.220;3:09.612;1;18;;E;WORLD CUP;FINAL A
18.05.2013;RACICE;11:09;SEN;M;SRB;;PAJIC Dejan;STANOJEVIC Dusko;46.180;1:36.720;2:21.830;3:10.821;2;18;;E;WORLD CUP;FINAL A
18.05.2013;RACICE;11:09;SEN;M;RUS;;MEDVEDEV Ilya;RYAKHOV Anton;49.770;1:35.810;2:23.540;3:11.675;3;18;;E;WORLD CUP;FINAL A
18.05.2013;RACICE;11:09;SEN;M;BLR;;ZHYHADLA Dzianis;BIALKO Vitaliy;48.450;1:44.050;2:32.350;3:12.591;4;18;;E;WORLD CUP;FINAL A
18.05.2013;RACICE;11:09;SEN;M;LTU;;NEKRIOSIUS Ricardas;OLIJNIK Andrej;47.410;1:33.290;2:22.540;3:12.631;5;18;;E;WORLD CUP;FINAL A
18.05.2013;RACICE;11:09;SEN;M;CZE;;ADAM Jakub;ODVÁRKO Michael; ;1:33.980;2:24.580;3:13.128;6;18;;E;WORLD CUP;FINAL A
18.05.2013;RACICE;11:09;SEN;M;CZE;;DAVÍDEK Pavel;KUČERA Patrik;50.760;1:37.890;2:31.870;3:13.505;7;18;;E;WORLD CUP;FINAL A
18.05.2013;RACICE;11:09;SEN;M;RUS;;SPESIVTSEV Maxim;CHERVOV Nikolay;46.490;;2:24.790;3:16.548;8;18;;E;WORLD CUP;FINAL A
18.05.2013;RACICE;11:09;SEN;M;CAN;;VAN KOEVERDEN ADAM;REARDON BRADY;49.250;1:44.490;2:32.760;3:19.091;9;;;;;
;;;;;;;;;;;;;;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:41;SEN;M;HUN;7;Dombi Rudolf;Kökény Roland;48.751;1:42.438;2:37.589;3:28.964;1;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:41;SEN;M;CZE;9;Havel Daniel;Štěrba Jan;49.827;1:43.178;2:36.929;3:29.012;2;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:41;SEN;M;ARG;4;De Gesus Juan Pablo;Carreras Gonzalo;51.465;1:46.798;2:43.325;3:37.574;3;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:41;SEN;M;SWE;2;Hemselius Daniel;Barsk Johannes;51.783;1:46.178;2:50.140;3:38.018;4;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:41;SEN;M;POR;3;Fernandes David;Ribeiro João;49.639;1:45.688;2:44.775;3:38.546;5;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:41;SEN;M;DEN;6;Larsen Martin;Axelsen William;54.888;1:47.74;2:45.142;3:40.208;6;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:41;SEN;M;FIN;8;Hakala Jeremy;Nykänen Miika;52.459;1:45.950;2:44.058;3:45.974;7;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:41;SEN;M;KGZ;1;Bondar Maksim;Algin Ilia;51.313;1:49.453;2:44.337;3:47.024;8;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:41;SEN;M;CHN;5;Li Kai;Liu Lifan;53.670;1:58.690;3:07.590;4:09.854;9;;;;WORLD CUP;HEAT
;;;;;;;;;;;;;;;;;;
10.05.2013;SZEGED;10:48;SEN;M;POR;4;Pimenta Fernando;Silva Emanuel;48.413;1:44.272;2:41.586;03:37.918;1;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:48;SEN;M;GBR;1;Rutherford Edward;Daniels Andrew;50.513;1:46.422;2:45.330;3:39.682;2;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:48;SEN;M;SRB;8;Pajic Dejan;Stanojevic Dusko;50.547;1:48.335;2:46.316;3:40.078;3;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:48;SEN;M;BLR;5;Liapioshka Aliaksandr;Bialko Vitaliy;49.278;1:47.738;2:46.598;3:40.108;4;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:48;SEN;M;HUN;2;Bozsik Gábor;Császár Gergely;52.793;1:48.685;2:46.954;3:40.906;5;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:48;SEN;M;NOR;6;Salbu Daniel;Solhaug Jo Sondre;52.793;1:49.954;2:46.827;3:42.358;6;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:48;SEN;M;POL;3;Brzezinski Martin;Warszawski Oskar;53.905;1:49.165;2:46.104;3:42.622;7;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:48;SEN;M;MEX;7;Lopez Quintero Javier;Medinilla Agustín;51.665;1:50.777;2:49.341;3:47.680;8;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:48;SEN;M;CHN;9;Xue Yuan;Zhao Yuefeng;57.428;2:00.058;3:05.983;4:07.444;9;;;;WORLD CUP;HEAT
;;;;;;;;;;;;;;;;;;
10.05.2013;SZEGED;10:55;SEN;M;RUS;1;Medvedev Ilya;Ryakhov Anton;49.114;1:44.252;2:39.445;3:33.015;1;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:55;SEN;M;POL;5;Szandrach Pawel;Kujawski Mariusz;50.466;1:44.992;2:42.446;3:37.101;2;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:55;SEN;M;BLR;2;Zhyhadla Dzianis;Litvinchuk Artur;51.925;01:48.945;2:44.938;3:37.881;3;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:55;SEN;M;CUB;7;Zulueta Arencibia Maikel;Riveaux Reiner Torres;49.717;1:47.366;2:45.877;3:41.109;4;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:55;SEN;M;AUT;6;Wecht Alexander;Trummer Erwin;51.028;1:49.427;2:47.660;3:42.087;5;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:55;SEN;M;CZE;8;Davídek Pavel;Kučera Patrik;51.961;1:48.630;2:47.326;3:42.231;6;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:55;SEN;M;KGZ;3;Parol Aleksandr;Dorofeev Igor;54.340;1:53.906;2:59.248;4:00.675;7;;;;WORLD CUP;HEAT
10.05.2013;SZEGED;10:55;SEN;M;HKG;4;Fung Wai Him;Ng Ka Chun;57.605;2:03.259;3:13.546;4:20.385;8;;;;WORLD CUP;HEAT
;;;;;;;;;;;;;;;;;;
10.05.2013;SZEGED;15:24;SEN;M;POL;5;Szandrach Pawel;Kujawski Mariusz;50.521;1:45.496;2:41.544;3:35.637;1;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:24;SEN;M;SRB;4;Pajic Dejan;Stanojevic Dusko;49.745;1:47.221;2:43.872;03:36.351;2;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:24;SEN;M;CUB;3;Zulueta Arencibia Maikel;Riveaux Reiner Torres;49.331;1:44.756;2:41.994;3:36.501;3;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:24;SEN;M;POR;2;Fernandes David;Ribeiro João;50.278;1:47.137;2:45.248;3:36.741;4;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:24;SEN;M;ARG;6;De Gesus Juan Pablo;Carreras Gonzalo;52.819;1:48.611;2:43.743;3:38.361;5;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:24;SEN;M;NOR;8;Salbu Daniel;Solhaug Jo Sondre;52.315;01:48.564;2:45.880;3:41.829;6;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:24;SEN;M;DEN;9;Larsen Martin;Axelsen William;53.197;1:49.488;2:47.402;3:42.783;7;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:24;SEN;M;BLR;7;Liapioshka Aliaksandr;Bialko Vitaliy;51.218;1:47.873;2:47.949;3:44.259;8;;;;WORLD CUP;SEMIFINAL
